Date,TSP,SERS,403(b),457(b),ROTH IRA,Brokerage
11/1/2024,"354070","0","0","0","70000","0"
12/1/2024,"354070","0","0","0","70000","0"
1/1/2025,"361399","0","0","0","70108","0"
2/1/2025,"372340","0","0","0","70266","0"
3/1/2025,"37339","0","0","0","70424","0"
4/1/2025,"362163","0","0","0","70582","0"
5/1/2025,"366841","0","0","0","72033","0"
6/1/2025,"383757","0","0","0","73485","0"
7/1/2025,"398405","0","0","0","75357","0"
8/1/2025,"402540","0","0","0","75895","0"
9/1/2025,"413491","0","0","0","77624","0"
10/1/2025,"424960","0","0","0","80315","0"
11/1/2025,"432388","0","0","0","89363","0"
12/1/2025,"433671","0","0","0","88509","0"
1/1/2026,"437134","2604","2042","2042","90271","0"
